Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
$39.00 annual fee,Royal Bank of Canada,No annual fee,20.99,""
$50.00 annual fee,Coast Capital Savings,No annual fee,12.99,""
$65.00 annual fee,Laurentian Bank of Canada,No annual fee,20.99,""
$70.00 annual fee,National Bank of Canada,No annual fee,20.99,""
$89.00 annual fee,The Toronto-Dominion Bank,No annual fee,20.99,""
$89.00 annual fee,The Toronto-Dominion Bank,No annual fee,20.99,""
$99.00 annual fee,CIBC,No annual fee,20.99,""
$99.00 annual fee,Coast Capital Savings,No annual fee,20.99,""
$99.00 annual fee,Coast Capital Savings,No annual fee,20.99,""
$99.00 annual fee,Royal Bank of Canada,No annual fee,20.99,""
$100.00 annual fee,Desjardins,No annual fee,20.9,""
$110.00 annual fee,Desjardins,No annual fee,20.9,""
$115.00 annual fee,National Bank of Canada,No annual fee,20.99,""
