Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
No annual fee,Desjardins,No annual fee,10.9,
No annual fee,MBNA is a division of The Toronto-Dominion Bank,No annual fee,12.99,
No annual fee,Coast Capital Savings,No annual fee,13.99,
No annual fee,Tangerine Bank,No annual fee,19.95,""
No annual fee,Tangerine Bank,No annual fee,19.95,""
No annual fee,Coast Capital Savings,No annual fee,19.99,""
No annual fee,MBNA is a division of The Toronto-Dominion Bank,No annual fee,19.99,""
No annual fee,MBNA is a division of The Toronto-Dominion Bank,No annual fee,19.99,""
No annual fee,Scotiabank,No annual fee,19.99,""
No annual fee,Scotiabank,No annual fee,19.99,""
No annual fee,The Toronto-Dominion Bank,No annual fee,19.99,""
No annual fee,The Toronto-Dominion Bank,No annual fee,19.99,""
No annual fee,Desjardins,No annual fee,20.9,""
