Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
No annual fee,Desjardins,No annual fee,20.9,""
No annual fee,Desjardins,No annual fee,20.9,""
No annual fee,BMO Bank of Montreal,No annual fee,20.99,""
No annual fee,BMO Bank of Montreal,No annual fee,20.99,""
No annual fee,BMO Bank of Montreal,No annual fee,20.99,""
No annual fee,CIBC,No annual fee,20.99,""
No annual fee,CIBC,No annual fee,20.99,""
No annual fee,CIBC,No annual fee,20.99,
No annual fee,CIBC,No annual fee,20.99,""
No annual fee,CIBC,No annual fee,20.99,""
No annual fee,Laurentian Bank of Canada,No annual fee,20.99,""
No annual fee,National Bank of Canada,No annual fee,20.99,""
No annual fee,Royal Bank of Canada,No annual fee,20.99,""
