Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
$119.00 annual fee,Royal Bank of Canada,No annual fee,20.99,""
$119.88 annual fee,Amex Bank of Canada,No annual fee,21.99,""
$120.00 annual fee,BMO Bank of Montreal,No annual fee,20.99,""
$120.00 annual fee,BMO Bank of Montreal,No annual fee,20.99,""
$120.00 annual fee,BMO Bank of Montreal,No annual fee,20.99,""
$120.00 annual fee,CIBC,No annual fee,20.99,""
$120.00 annual fee,Coast Capital Savings,No annual fee,20.99,""
$120.00 annual fee,Coast Capital Savings,No annual fee,20.99,""
$120.00 annual fee,Royal Bank of Canada,No annual fee,20.99,""
$120.00 annual fee,Royal Bank of Canada,No annual fee,20.99,""
$120.00 annual fee,Scotiabank,No annual fee,20.99,""
$120.00 annual fee,Scotiabank,No annual fee,20.99,""
$120.00 annual fee,Amex Bank of Canada,No annual fee,21.99,""
