Card Name,Bank,Annual Fee,Purchase Interest Rate (%),Rewards
$120.00 annual fee,Amex Bank of Canada,No annual fee,30.0,""
$130.00 annual fee,Desjardins,No annual fee,20.9,""
$130.00 annual fee,Laurentian Bank of Canada,No annual fee,20.99,""
$139.00 annual fee,CIBC,No annual fee,20.99,""
$139.00 annual fee,CIBC,No annual fee,20.99,""
$139.00 annual fee,CIBC,No annual fee,20.99,""
$139.00 annual fee,The Toronto-Dominion Bank,No annual fee,20.99,""
$139.00 annual fee,The Toronto-Dominion Bank,No annual fee,20.99,""
$139.00 annual fee,The Toronto-Dominion Bank,No annual fee,20.99,""
$150.00 annual fee,Scotiabank,No annual fee,19.99,""
$150.00 annual fee,BMO Bank of Montreal,No annual fee,20.99,""
$150.00 annual fee,National Bank of Canada,No annual fee,20.99,""
$155.88 annual fee,Amex Bank of Canada,No annual fee,21.99,""
